t,S_a,I_a,S_h,I_h,R_h
1.201201201201201366e+04,4.989408603091257828e+04,6.910058052194476659e+02,2.444265687183637056e+05,4.163007294177364059e+01,2.787994370785210776e+04
1.211211211211211230e+04,4.989392306071528583e+04,6.926886889946713382e+02,2.457314926837769162e+05,4.174195395840843759e+01,2.818750089588039191e+04
1.221221221221221276e+04,4.989376506370658899e+04,6.943233037429988599e+02,2.470293565819214273e+05,4.185220008415881665e+01,2.849496622480163933e+04
1.231231231231231322e+04,4.989361189305329026e+04,6.959108948680433286e+02,2.483202165693962015e+05,4.196084557758077693e+01,2.880232389187195076e+04
1.241241241241241369e+04,4.989346340589682950e+04,6.974526849608613475e+02,2.496041279830340063e+05,4.206792397384122495e+01,2.910955849561325158e+04
1.251251251251251415e+04,4.989331946331896324e+04,6.989498715886666105e+02,2.508811453617934312e+05,4.217346807918827523e+01,2.941665502371898401e+04
1.261261261261261279e+04,4.989317993018232664e+04,7.004036306324513816e+02,2.521513224512730085e+05,4.227751001511369822e+01,2.972359885067173309e+04
1.271271271271271326e+04,4.989304467512508563e+04,7.018151122919365434e+02,2.534147122331551509e+05,4.238008118709415584e+01,3.003037572142733916e+04
1.281281281281281372e+04,4.989291357043633616e+04,7.031854438027301057e+02,2.546713669305740332e+05,4.248121231139278109e+01,3.033697174856482525e+04
1.291291291291291418e+04,4.989278649198204221e+04,7.045157293515876518e+02,2.559213380235949589e+05,4.258093341602180004e+01,3.064337340378180670e+04
1.301301301301301464e+04,4.989266331912324677e+04,7.058070480938571336e+02,2.571646762725868030e+05,4.267927386177988325e+01,3.094956750495290544e+04
1.311311311311311329e+04,4.989254393462427106e+04,7.070604573866265810e+02,2.584014317179837672e+05,4.277626241953296216e+01,3.125554121639802906e+04
1.321321321321321375e+04,4.989242822458120645e+04,7.082769898362159893e+02,2.596316537109885248e+05,4.287192717577771361e+01,3.156128203189110718e+04
1.331331331331331421e+04,4.989231607833658927e+04,7.094576553920119295e+02,2.608553909165526275e+05,4.296629556095422942e+01,3.186677777315303683e+04
1.341341341341341467e+04,4.989220738840090053e+04,7.106034413863683312e+02,2.620726913277499843e+05,4.305939431446078913e+01,3.217201658198827135e+04
1.351351351351351514e+04,4.989210205035972467e+04,7.117153115638705003e+02,2.632836022881899262e+05,4.315124960143801758e+01,3.247698690782335325e+04
1.361361361361361378e+04,4.989199996283204382e+04,7.127942080822742810e+02,2.644881704898421885e+05,4.324188721882455866e+01,3.278167750899740349e+04
1.371371371371371424e+04,4.989190102734138782e+04,7.138410500007686323e+02,2.656864420032635098e+05,4.333133223661815947e+01,3.308607743618012319e+04
1.381381381381381470e+04,4.989180514828248852e+04,7.148567346935888054e+02,2.668784622789543355e+05,4.341960910096147330e+01,3.339017603173772659e+04
1.391391391391391517e+04,4.989171223284887674e+04,7.158421380898748794e+02,2.680642761605046690e+05,4.350674149342327013e+01,3.369396292261737108e+04
1.401401401401401563e+04,4.989162219091209408e+04,7.167981141422725386e+02,2.692439279057850363e+05,4.359275267944427412e+01,3.399742800844142766e+04
1.411411411411411427e+04,4.989153493502709898e+04,7.177254963830165480e+02,2.704174611835022806e+05,4.367766566953409324e+01,3.430056146353450458e+04
