t,S_a,I_a,S_h,I_h,R_h
1.031031031031031125e+04,4.996017369508190313e+04,2.515258063764216274e+02,2.315235835722856864e+05,2.862128638428578142e+01,1.677417184690852810e+04
1.041041041041041171e+04,4.995999043040384277e+04,2.529265422509763255e+02,2.331088421139010170e+05,2.874888655817031946e+01,1.699522580338888292e+04
1.051051051051051036e+04,4.995980946699230844e+04,2.543124273341188939e+02,2.346856640299320570e+05,2.887520081042379161e+01,1.721668461144685716e+04
1.061061061061061082e+04,4.995963079720464157e+04,2.556834256598014008e+02,2.362541049192725332e+05,2.900023947917317102e+01,1.743853389385811170e+04
1.071071071071071128e+04,4.995945441260166990e+04,2.570395084799716301e+02,2.378142199802900723e+05,2.912401289109710234e+01,1.766075943311457740e+04
1.081081081081081174e+04,4.995928030397902330e+04,2.583806541441496165e+02,2.393660640119808959e+05,2.924653145685666544e+01,1.788334717099488989e+04
1.091091091091091221e+04,4.995910846139782370e+04,2.597068478702194625e+02,2.409096914153996913e+05,2.936780556201409809e+01,1.810628320807076307e+04
1.101101101101101267e+04,4.995893887421575346e+04,2.610180816205899532e+02,2.424451561939576350e+05,2.948784563429217087e+01,1.832955380376270477e+04
1.111111111111111131e+04,4.995877153111259395e+04,2.623143538746556942e+02,2.439725119553554978e+05,2.960666223904960859e+01,1.855314537544461564e+04
1.121121121121121178e+04,4.995860642012695462e+04,2.635956694970629428e+02,2.454918119120064075e+05,2.972426589725099078e+01,1.877704449857846339e+04
1.131131131131131224e+04,4.995844352867425187e+04,2.648620395121361071e+02,2.470031088830646477e+05,2.984066705117660234e+01,1.900123790581672074e+04
1.141141141141141270e+04,4.995828284358748351e+04,2.661134809656064135e+02,2.485064552947140473e+05,2.995587623288699319e+01,1.922571248703087258e+04
1.151151151151151316e+04,4.995812435113247921e+04,2.673500167070007478e+02,2.500019031823235855e+05,3.006990402272199958e+01,1.945045528833314165e+04
1.161161161161161181e+04,4.995796803704768536e+04,2.685716752378471028e+02,2.514895041908593848e+05,3.018276097179171913e+01,1.967545351217504867e+04
1.171171171171171227e+04,4.995781388655933551e+04,2.697784905126845842e+02,2.529693095773838286e+05,3.029445763447763440e+01,1.990069451613606361e+04
1.181181181181181273e+04,4.995766188441965642e+04,2.709705017679973480e+02,2.544413702111956372e+05,3.040500458149029228e+01,2.012616581311493428e+04
1.191191191191191319e+04,4.995751201492120890e+04,2.721477533444770529e+02,2.559057365764736314e+05,3.051441238477266538e+01,2.035185507007121123e+04
1.201201201201201366e+04,4.995736426193236548e+04,2.733102945021561254e+02,2.573624587728410552e+05,3.062269161531095918e+01,2.057775010797349023e+04
1.211211211211211230e+04,4.995721860889760137e+04,2.744581792848750865e+02,2.588115865190080658e+05,3.072985283376914722e+01,2.080383889995071877e+04
1.221221221221221276e+04,4.995707503890131193e+04,2.755914662747054535e+02,2.602531691510261444e+05,3.083590660007389417e+01,2.103010957258979397e+04
1.231231231231231322e+04,4.995693353468122950e+04,2.767102184360145429e+02,2.616872556248007750e+05,3.094086346639129559e+01,2.125655040474662383e+04
1.241241241241241369e+04,4.995679407864771201e+04,2.778145029488222804e+02,2.631138945181097370e+05,3.104473397220858999e+01,2.148314982664631316e+04
1.251251251251251415e+04,4.995665665284131683e+04,2.789043911686750334e+02,2.645331340370122343e+05,3.114752863333364274e+01,2.170989641640799891e+04
1.261261261261261279e+04,4.995652123902904714e+04,2.799799583075102305e+02,2.659450220121549792e+05,3.124925794842392790e+01,2.193677890249064149e+04
1.271271271271271326e+04,4.995638781877866131e+04,2.810412831583380466e+02,2.673496058966788696e+05,3.134993240263571934e+01,2.216378616520159630e+04
1.281281281281281372e+04,4.995625637339687819e+04,2.820884480930480436e+02,2.687469327740945155e+05,3.144956245332201661e+01,2.239090723236250415e+04
1.291291291291291418e+04,4.995612688390284166e+04,2.831215390390282209e+02,2.701370493634669692e+05,3.154815853334368114e+01,2.261813127654380514e+04
1.301301301301301464e+04,4.995599933104163938e+04,2.841406453328917223e+02,2.715200020217595738e+05,3.164573104854426333e+01,2.284544761397141701e+04
1.311311311311311329e+04,4.995587369553984172e+04,2.851458589390252882e+02,2.728958367287857691e+05,3.174229036796852554e+01,2.307284571365145530e+04
1.321321321321321375e+04,4.995574995790282264e+04,2.861372748707516962e+02,2.742645991050900775e+05,3.183784682781966779e+01,2.330031518714864069e+04
1.331331331331331421e+04,4.995562809845680022e+04,2.871149910188999570e+02,2.756263344123195275e+05,3.193241072951275328e+01,2.352784578864870127e+04
1.341341341341341467e+04,4.995550809724639839e+04,2.880791084489495688e+02,2.769810875641138409e+05,3.202599234464148026e+01,2.375542740883611259e+04
1.351351351351351514e+04,4.995538993442362698e+04,2.890297298612682084e+02,2.783289031008460443e+05,3.211860188941222560e+01,2.398305009004145904e+04
1.361361361361361378e+04,4.995527358996915427e+04,2.899669605470626266e+02,2.796698252134773647e+05,3.221024954056136380e+01,2.421070401249081260e+04
1.371371371371371424e+04,4.995515904378068080e+04,2.908909079845851124e+02,2.810038977403238532e+05,3.230094542899735899e+01,2.443837949649133952e+04
1.381381381381381470e+04,4.995504627549028373e+04,2.918016826635001735e+02,2.823311641821390949e+05,3.239069965966155706e+01,2.466606699380674036e+04
1.391391391391391517e+04,4.995493526491826924e+04,2.926993958149537889e+02,2.836516676757378737e+05,3.247952226068495207e+01,2.489375710353766408e+04
1.401401401401401563e+04,4.995482599176761869e+04,2.935841608337112802e+02,2.849654510170880239e+05,3.256742321690791186e+01,2.512144055876318816e+04
1.411411411411411427e+04,4.995471843572352373e+04,2.944560927306951044e+02,2.862725566580123850e+05,3.265441245839497952e+01,2.534910822878032559e+04
1.421421421421421473e+04,4.995461257629104512e+04,2.953153090054350400e+02,2.875730267183682299e+05,3.274049987531483197e+01,2.557675111215364814e+04
1.431431431431431520e+04,4.995450839313709730e+04,2.961619276553851137e+02,2.888669029698148370e+05,3.282569528444999207e+01,2.580436034667547574e+04
1.441441441441441566e+04,4.995440586591748433e+04,2.969960681084937733e+02,2.901542268485893728e+05,3.291000844509247258e+01,2.603192720206039667e+04
1.451451451451451612e+04,4.995430497430411924e+04,2.978178510196698312e+02,2.914350394570088829e+05,3.299344905574591280e+01,2.625944307935002143e+04
1.461461461461461477e+04,4.995420569787278509e+04,2.986273988480688786e+02,2.927093815711917705e+05,3.307602677198869401e+01,2.648689950657294685e+04
1.471471471471471523e+04,4.995410801630832430e+04,2.994248346571438333e+02,2.939772936347296927e+05,3.315775117561657481e+01,2.671428814286777924e+04
1.481481481481481569e+04,4.995401190940219385e+04,3.002102820781292394e+02,2.952388157616545213e+05,3.323863177516908962e+01,2.694160077701042246e+04
1.491491491491491615e+04,4.995391735697823606e+04,3.009838656754037061e+02,2.964939877426162129e+05,3.331867801729663370e+01,2.716882932400858044e+04
1.501501501501501662e+04,4.995382433885154023e+04,3.017457111847130022e+02,2.977428490493691061e+05,3.339789928931742224e+01,2.739596582269054852e+04
1.511511511511511708e+04,4.995373283489361347e+04,3.024959450636445126e+02,2.989854388348350767e+05,3.347630491175274159e+01,2.762300243599484747e+04
1.521521521521521572e+04,4.995364282517133688e+04,3.032346935809617889e+02,3.002217959300403018e+05,3.355390412287092516e+01,2.784993145316122536e+04
1.531531531531531618e+04,4.995355428980245051e+04,3.039620836780672448e+02,3.014519588530644542e+05,3.363070609394086574e+01,2.807674528461479713e+04
1.541541541541541665e+04,4.995346720896776969e+04,3.046782429003037009e+02,3.026759658111646422e+05,3.370671993088203067e+01,2.830343646097798046e+04
1.551551551551551711e+04,4.995338156287896709e+04,3.053832996022619568e+02,3.038938547047912725e+05,3.378195468049385397e+01,2.852999763093306319e+04
1.561561561561561757e+04,4.995329733199553448e+04,3.060773813287879079e+02,3.051056631220495910e+05,3.385641929148243179e+01,2.875642156502608850e+04
1.571571571571571621e+04,4.995321449685085827e+04,3.067606160583860628e+02,3.063114283481526072e+05,3.393012264641198783e+01,2.898270115014852126e+04
1.581581581581581668e+04,4.995313303809262288e+04,3.074331318852173354e+02,3.075111873664358282e+05,3.400307355416263277e+01,2.920882938925191775e+04
1.591591591591591714e+04,4.995305293638689909e+04,3.080950577375693911e+02,3.087049768636181252e+05,3.407528076441987963e+01,2.943479939835697223e+04
1.601601601601601760e+04,4.995297417268711433e+04,3.087465212628835047e+02,3.098928332252384862e+05,3.414675292744497170e+01,2.966060440994741293e+04
1.611611611611611806e+04,4.995289672803892608e+04,3.093876503169671537e+02,3.110747925435892539e+05,3.421749862344896798e+01,2.988623776824231754e+04
1.621621621621621671e+04,4.995282058364023396e+04,3.100185724710531190e+02,3.122508906187769608e+05,3.428752635368763180e+01,3.011169292893494276e+04
1.631631631631631717e+04,4.995274572070080467e+04,3.106394160751517006e+02,3.134211629632304539e+05,3.435684456612807480e+01,3.033696345651332376e+04
1.641641641641641763e+04,4.995267212074489362e+04,3.112503078832310734e+02,3.145856448001278332e+05,3.442546160118155285e+01,3.056204302606577039e+04
1.651651651651651628e+04,4.995259976540411299e+04,3.118513746342884474e+02,3.157443710688203573e+05,3.449338572940653336e+01,3.078692541992611950e+04
1.661661661661661856e+04,4.995252863647569757e+04,3.124427425734798476e+02,3.168973764266127255e+05,3.456062514132030117e+01,3.101160452700609312e+04
1.671671671671671720e+04,4.995245871583042026e+04,3.130245381860652856e+02,3.180446952515551820e+05,3.462718796157268031e+01,3.123607434117261073e+04
1.681681681681681948e+04,4.995238998557941522e+04,3.135968868019721754e+02,3.191863616444572690e+05,3.469308222372207950e+01,3.146032896074986638e+04
1.691691691691691813e+04,4.995232242800971289e+04,3.141599131024177041e+02,3.203224094316002447e+05,3.475831588021593177e+01,3.168436258701459519e+04
1.701701701701701677e+04,4.995225602557044476e+04,3.147137412094167530e+02,3.214528721672966494e+05,3.482289680465095927e+01,3.190816952291225971e+04
1.711711711711711905e+04,4.995219076083217078e+04,3.152584950478383234e+02,3.225777831358023686e+05,3.488683280104649498e+01,3.213174417203677876e+04
1.721721721721721769e+04,4.995212661655495322e+04,3.157942977069119479e+02,3.236971753544138046e+05,3.495013159050857610e+01,3.235508103729225695e+04
1.731731731731731998e+04,4.995206357571743138e+04,3.163212711558528554e+02,3.248110815762024722e+05,3.501280080574929343e+01,3.257817471963691059e+04
1.741741741741741862e+04,4.995200162146047660e+04,3.168395367368248685e+02,3.259195342919488903e+05,3.507484800284913717e+01,3.280101991700720828e+04
1.751751751751751726e+04,4.995194073707752250e+04,3.173492152493896015e+02,3.270225657319913735e+05,3.513628066255616034e+01,3.302361142342532548e+04
1.761761761761761954e+04,4.995188090602106240e+04,3.178504268703425737e+02,3.281202078687955509e+05,3.519710618946319158e+01,3.324594412776500394e+04
